Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body_Base_link,-0.00222338943153113,-7.21477586634144E-07,0.290469759753077,0,0,0,11.5498443972996,0.5885597835799,3.1554820713728E-09,-0.000471193074627488,0.58795222479349,4.94265597646443E-08,0.468956501545227,0,0,0,0,0,0,package://JZ25034_7D/meshes/Body_Base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Body_Base_link.STL,,三益精密福马轮[CAZT42]-4;三益精密福马轮[CAZT42]-2;三益精密福马轮[CAZT42]-3;三益精密福马轮[CAZT42]-1;JZ25034-710C-1/JZ25034-710-01B-1;JZ25034-710C-1/LE-JJ-6060-1;JZ25034-710C-1/LE-8-6060-S-OO-1500-1;JZ25034-710C-1/LE-JJ-6060-2;JZ25034-710C-1/LE-LJ60JD-20-2;JZ25034-710C-1/LE-LJ60JD-20-1;JZ25034-710C-1/LE-8-3060-S-OO-318_斜撑-2;JZ25034-750-03B-1;JZ25034-750-06A-1;JZ25034-740V2-1/通讯板安装架B-1;JZ25034-750-08A-1;JZ25034-750-07A-1;外壳前2-1;外壳后2-1,Co_Ground,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Shoulder_Base_Link,2.39576381628158E-09,0.0659218361820017,-2.93705990639381E-08,0,0,0,0.924033111595577,0.000808213882209898,3.59894954693013E-11,-8.08905421826288E-09,0.000931574847368187,-3.4664321606015E-10,0.000673662555330586,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Base_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Base_Link.STL,,JZ25034-720D-1/JZ25034-720-01C-1;JZ25034-720D-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-1,Co_Left_Shoulder_Base,,Left_Shoulder_Base_Joint,fixed,0,0,1.217,0,0,0,Body_Base_link,0,0,0,,,,,,,,,,,,
Left_Shoulder_Pitch_Link,0.00054854355587839,0.0663441584679468,-4.15012326060449E-07,0,0,0,1.03708373928272,0.000979917881977378,-4.19930467638723E-05,2.31327737820334E-11,0.000606132157414063,-4.38206813372292E-10,0.000805446122113303,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Pitch_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Pitch_Link.STL,,JZ25034-720D-1/JZ25034-720-04D-1;JZ25034-720D-1/JZ25034-720-03D-1;JZ25034-720D-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-2;JZ25034-720D-1/GB╱T 276-1994[两面带密封圈（接触式）的深沟球轴承[60000-2LS]61903-2LS]-1,Co__Left_Shoulder_Pitch,Ra_Left_Shoulder_Pitch,Left_Shoulder_Pitch_Joint,revolute,0,0.096,0,0,0,0,Left_Shoulder_Base_Link,0,1,0,0,0,-2.97,1.05,,,,,,,,
Left_Shoulder_Roll_Link,-0.0328266103103039,-1.13122606414384E-05,-0.0818731842645899,0,0,0,0.611930821491615,0.000491318005531021,6.18222684267692E-11,-5.06965158683244E-07,0.000474502799979439,-2.58696555442765E-08,0.000257744883873199,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Roll_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Roll_Link.STL,,JZ25034-720D-1/JZ25034-720-05D-2;JZ25034-720D-1/26-04F-1;JZ25034-720D-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-1;JZ25034-720D-1/JZ25034-720-06D-1;JZ25034-720D-1/JZ25034-720-07D-1,Co__Left_Shoulder_Roll,Ra__Left_Shoulder_Roll,Left_Shoulder_Roll_Joint,revolute,0.0328,0.075,0,0,0,0,Left_Shoulder_Pitch_Link,1,0,0,0,0,-0.35,3.49,,,,,,,,
Left_Shoulder_Yaw_Link,0.00682314676154193,-4.46512945422306E-05,-0.130199530724097,0,0,0,0.600776606697813,0.000473916613527744,7.72324077414514E-08,5.90958237468834E-06,0.000448035733659396,1.79115600065077E-07,0.000256235205802589,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Yaw_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Shoulder_Yaw_Link.STL,,JZ25034-720D-1/JZ25034-720-08D-1;JZ25034-720D-1/JZ25034-720-10D-1;JZ25034-720D-1/JZ25034-720-09C-1;JZ25034-720D-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-2,Co__Left_Shoulder_Yaw,Ra__Left_Shoulder_Yaw,Left_Shoulder_Yaw_Joint,revolute,-0.0328,0,-0.12,0,0,0,Left_Shoulder_Roll_Link,0,0,1,0,0,-2.79,2.79,,,,,,,,
Left_Elbow_Pitch_Link,-0.0090403654310206,0.032365117715688,-0.0740066379621661,0,0,0,0.571822387207262,0.000373566335968375,-3.30108379286696E-08,-1.15594926282846E-05,0.000376125485331464,1.49444070657373E-07,0.000228220814310663,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Elbow_Pitch_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Elbow_Pitch_Link.STL,,JZ25034-720D-1/JZ25034-720-12D-1;JZ25034-720D-1/JZ25034-720-11D-1;JZ25034-720D-1/JZ25034-720-13D-1;JZ25034-720D-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-3;JZ25034-720D-1/26-04F-2;JZ25034-720D-1/GB╱T 276-2013[两面带密封圈（非接触式）的深沟球轴承[60000-2RZ]61901-2RZ]-1,Co_Left_Elbow_Pitch,Ra_Left_Elbow_Pitch,Left_Elbow_Pitch_Joint,revolute,0.0095,-0.0325,-0.15,0,0,0,Left_Shoulder_Yaw_Link,0,1,0,0,0,-2.355,0,,,,,,,,
Left_Wrist_Yaw_Link,3.69740452762102E-08,0.00647895756262068,-0.0555903355087713,0,0,0,0.477607109369943,0.000252009679930231,2.56556791795388E-10,8.40673606830403E-10,0.000230774325731339,-1.45571201182614E-05,0.000223888344087184,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Wrist_Yaw_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Wrist_Yaw_Link.STL,,JZ25034-720D-1/JZ25034-720-14D-1;JZ25034-720D-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-4,Co_Left_Wrist_Yaw,Ra_Left_Wrist_Yaw,Left_Wrist_Yaw_Joint,revolute,-0.0095,0.0325,-0.11,0,0,0,Left_Elbow_Pitch_Link,0,0,1,0,0,-2.79,2.79,,,,,,,,
Left_Wrist_Pitch_Link,-0.00711282233334451,0.0182114323933808,-0.0596299986813169,0,0,0,0.463906587613134,0.000227880683675111,-2.49113311913961E-06,5.38703832935156E-06,0.00026785366981276,7.22420737435019E-06,0.000199800671841578,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Wrist_Pitch_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Wrist_Pitch_Link.STL,,JZ25034-720D-1/JZ25034-720-15D-1;JZ25034-720D-1/P5636-36A1（更改机壳和后盖及输出轴销孔）_251011-5,Co_Left_Wrist_Pitch,Ra_Left_Wrist_Pitch,Left_Wrist_Pitch_Joint,revolute,0,-0.022,-0.06,0,0,0,Left_Wrist_Yaw_Link,0,1,0,0,0,-1.57,1.57,,,,,,,,
Left_Wrist_Roll_Link,-0.0072702259987953,2.82402962126227E-10,-0.0363234197668264,0,0,0,0.0737528636640965,5.50396554373168E-05,-8.73979570437831E-14,-1.46653059719208E-05,5.80308714819392E-05,-4.48880508094499E-13,4.14743760983864E-05,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Wrist_Roll_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Left_Wrist_Roll_Link.STL,,JZ25034-720D-1/JZ25034-720-16D-1,Co_Left_Wrist_Roll,Ra_Left_Wrist_Roll,Left_Wrist_Roll_Joint,revolute,0.0225,0.022,-0.064,0,0,0,Left_Wrist_Pitch_Link,1,0,0,0,0,-1.57,1.57,,,,,,,,
Right_Shoulder_Base_Link,-1.99267264776488E-09,-0.0659218361820058,3.30808307413832E-08,0,0,0,0.924033111595576,0.000808213882214251,2.95678180150087E-11,8.08908965209071E-09,0.000931574847368185,-4.02248117355149E-10,0.000673662555326232,0,0,0,0,0,0,package://JZ25034_7D/meshes/Right_Shoulder_Base_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Right_Shoulder_Base_Link.STL,,JZ25034-730C-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-1;JZ25034-730C-1/JZ25034-720-01C-1,Co_Right_Shoulder_Base,Axis_Right_Shoulder_Base_Joint,Right_Shoulder_Base_Joint,fixed,0,0,1.217,0,0,0,Body_Base_link,0,0,0,,,,,,,,,,,,
Right_Shoulder_Pitch_Link,0.000550445937296118,-0.0663446867698749,3.85924345147615E-07,0,0,0,1.03708373831885,0.000979917881985241,4.19930465301815E-05,-2.22495649895194E-11,0.0006061320567727,4.72594631084341E-10,0.000805446222765678,0,0,0,0,0,0,package://JZ25034_7D/meshes/Right_Shoulder_Pitch_Link.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://JZ25034_7D/meshes/Right_Shoulder_Pitch_Link.STL,,JZ25034-730C-1/JZ25034-720-04D-1;JZ25034-730C-1/JZ25034-720-03D-1;JZ25034-730C-1/P8616-80A1(更改机壳和后盖螺纹孔）20251010-2;JZ25034-730C-1/GB╱T 276-1994[两面带密封圈（接触式）的深沟球轴承[60000-2LS]61903-2LS]-1,Co_Right_Shoulder_Pitch,Ra_Right_Shoulder_Pitch,Right_Shoulder_Pitch_Joint,revolute,0,-0.096,0,0,0,0,Right_Shoulder_Base_Link,0,1,0,0,0,-2.97,1.05,,,,,,,,
