timestamp,elapsed_time,alpha,alpha_geo,alpha_vel,alpha_alignment
1772464902.399667,0.025370,0.813922,0.436460,0.906196,0.000000
1772464902.400502,0.026206,0.815813,0.436460,0.913200,0.000000
1772464902.413641,0.039344,0.817688,0.436460,0.915706,0.000000
1772464902.426151,0.051854,0.819582,0.437180,0.918619,0.000000
1772464902.437383,0.063086,0.820652,0.436460,0.896652,0.000000
1772464902.451100,0.076803,0.821976,0.436460,0.905986,0.000000
1772464902.462554,0.088257,0.823430,0.437180,0.911389,0.000000
1772464902.475536,0.101239,0.824288,0.436460,0.896078,0.000000
1772464902.488108,0.113812,0.825418,0.436460,0.905608,0.000000
1772464902.501207,0.126911,0.826530,0.437180,0.906092,0.000000
1772464902.513967,0.139671,0.827247,0.436460,0.896491,0.000000
1772464902.525132,0.150836,0.828245,0.437180,0.905399,0.000000
1772464902.537348,0.163052,0.828827,0.436460,0.894996,0.000000
1772464902.550285,0.175989,0.829592,0.436460,0.901404,0.000000
1772464902.563193,0.188896,0.830073,0.436460,0.894016,0.000000
1772464902.575604,0.201307,0.830272,0.436460,0.886459,0.000000
1772464902.588293,0.213997,0.830424,0.436460,0.885398,0.000000
1772464902.600699,0.226402,0.830761,0.436460,0.890997,0.000000
1772464902.613410,0.239114,0.831413,0.437180,0.900175,0.000000
1772464902.626351,0.252055,0.831068,0.436460,0.872985,0.000000
1772464902.637575,0.263278,0.831051,0.436460,0.881708,0.000000
1772464902.650651,0.276355,0.831370,0.436460,0.891395,0.000000
1772464902.663025,0.288728,0.831865,0.436460,0.897056,0.000000
1772464902.675747,0.301451,0.832505,0.436460,0.902216,0.000000
1772464902.687391,0.313095,0.833326,0.436460,0.908789,0.000000
1772464902.700483,0.326187,0.834350,0.436460,0.916488,0.000000
1772464902.713098,0.338802,0.835566,0.436460,0.924419,0.000000
1772464902.726050,0.351754,0.836946,0.436460,0.931898,0.000000
1772464902.737435,0.363139,0.838455,0.436460,0.938693,0.000000
1772464902.750464,0.376168,0.840063,0.436460,0.944805,0.000000
1772464902.762888,0.388592,0.841743,0.436460,0.950305,0.000000
1772464902.775868,0.401572,0.843475,0.436460,0.955260,0.000000
1772464902.787463,0.413166,0.845240,0.436460,0.959726,0.000000
1772464902.800725,0.426428,0.847024,0.436460,0.963750,0.000000
1772464902.813149,0.438853,0.848812,0.436460,0.967374,0.000000
1772464902.825951,0.451654,0.850595,0.436460,0.970636,0.000000
1772464902.837452,0.463155,0.852382,0.437180,0.973573,0.000000
1772464902.850724,0.476428,0.853050,0.436460,0.936306,0.000000
