2026-02-21 21:41:24 | __main__             | INFO     | ================================================================================
2026-02-21 21:41:24 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-21 21:41:24 | __main__             | INFO     | ================================================================================
2026-02-21 21:41:24 | __main__             | INFO     | 加载系统配置...
2026-02-21 21:41:24 | __main__             | INFO     | 配置加载完成
2026-02-21 21:41:24 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-21 21:41:24 | src.control.vist_controller | INFO     | 运动映射器初始化完成
2026-02-21 21:41:24 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 启用几何解析求解器...
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 几何求解器初始化完成 (trust_weight=2.0)
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | VIST Kalman Filter 初始化完成
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 初始化安全控制器...
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 安全控制器初始化完成
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 初始化坐标变换管理器...
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | 坐标变换管理器初始化完成
2026-02-21 21:41:25 | src.control.vist_controller | INFO     | VIST 控制器初始化完成 - 基础模式（直接控制）
2026-02-21 21:41:25 | __main__             | INFO     | 性能监控器初始化完成
2026-02-21 21:41:25 | __main__             | INFO     | 初始化完成！
2026-02-21 21:44:23 | __main__             | INFO     | ================================================================================
2026-02-21 21:44:23 | __main__             | INFO     | VIST 真机控制系统（重构版）
2026-02-21 21:44:23 | __main__             | INFO     | ================================================================================
2026-02-21 21:44:23 | __main__             | INFO     | 加载系统配置...
2026-02-21 21:44:23 | __main__             | INFO     | 配置加载完成
2026-02-21 21:44:23 | src.control.vist_controller | INFO     | 初始化运动映射器...
2026-02-21 21:44:23 | src.control.vist_controller | INFO     | 运动映射器初始化完成
2026-02-21 21:44:23 | src.control.vist_controller | INFO     | 初始化 IK 求解器...
2026-02-21 21:44:24 | src.control.vist_controller | INFO     | IK 求解器初始化完成
2026-02-21 21:44:24 | src.control.vist_controller | INFO     | 初始化 VIST 框架...
2026-02-21 21:44:24 | src.control.vist_controller | INFO     | 启用几何解析求解器...
